Field,LongName,Description,Levels,Units,TermURL,HED
fitpo_use_app,,Did you use the app and website to see your Fitbit activity? | 1=Yes; 0=No,,,,
fitpo_use_app,,Did you use the app and website to see your Fitbit activity? | 1=Yes; 0=No,1 = Yes | 0 = No,,,
fitpr_worn_tracker_p,,Has your child ever worn a Fitbit or other activity tracker? / Â¿Alguna vez su hijo/a ha usado un Fitbit u otro dispositivo de seguimiento de actividades? | 1=Yes /Si; 0 = No / No,,,,
fitpr_worn_tracker_p,,Has your child ever worn a Fitbit or other activity tracker? / Â¿Alguna vez su hijo/a ha usado un Fitbit u otro dispositivo de seguimiento de actividades? | 1=Yes /Si; 0 = No / No,1 = Yes /Si | 0 = No / No,,,
fitpr_check_amt_p,,How often did s/he check the activity tracker throughout the day (while awake)? / Â¿Con quÃ© frecuencia revisaba el rastreador de actividades durante el dÃ­a (mientras estaba despierto/a)? | 1= Several time per day / Varias veces al dÃ­a; 2  =About once per day / Aproximadamente una vez al dÃ­a; 3 = Several time per week / Varias veces a la semana; 4=  About once per week / Aproximadamente una vez a la semana,,,,
fitpr_check_amt_p,,How often did s/he check the activity tracker throughout the day (while awake)? / Â¿Con quÃ© frecuencia revisaba el rastreador de actividades durante el dÃ­a (mientras estaba despierto/a)? | 1= Several time per day / Varias veces al dÃ­a; 2  =About once per day / Aproximadamente una vez al dÃ­a; 3 = Several time per week / Varias veces a la semana; 4=  About once per week / Aproximadamente una vez a la semana,1 = Several time per day / Varias veces al dÃ­a | 2 = About once per day / Aproximadamente una vez al dÃ­a | 3 = Several time per week / Varias veces a la semana | 4 = About once per week / Aproximadamente una vez a la semana,,,
fitpr_physical,,"In your opinion, compared to other kids your age, how much physical activity do you do? | 1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more",,,,
fitpr_physical,,"In your opinion, compared to other kids your age, how much physical activity do you do? | 1=Much less; 2=A little less; 3=About the same; 4=A little more; 5=Much more",1 = Much less | 2 = A little less | 3 = About the same | 4 = A little more | 5 = Much more,,,
fitpr_sedentary_health,,"In your opinion, do you think the amount of sedentary behaviors you do is healthy? | 1=Yes; 0=No",,,,
fitpr_sedentary_health,,"In your opinion, do you think the amount of sedentary behaviors you do is healthy? | 1=Yes; 0=No",1 = Yes | 0 = No,,,
fit_ss_day_wkno,,Week number starting from first day of protocol wear,,,,
fit_ss_wk_very_active_min,,Sum of of minutes spent in vigorous (6+ METS) activity during day_min on included days | Individual day only included if day minutes >599,,,,
fit_ss_fitbit_rest_hr,,Average resting heart rate from all included days from the daily level fitbit record | Low(er) resting heart rate is usually indicative of a) stronger cardiac muscle/better cardiorespiratory fitness and b) improved (para)sympathetic nervous tone,,,,
fit_ss_wkno,,Week number since start of protocol | Only first 3 weeks will be included in weekly aggregation (protocol length of wear),,,,
fit_ss_sleep_sum_wake_minutes,,Sum of Minutes classified as being awake through all sleep periods,,,,
fit_ss_sleep_avg_light_minutes,,Average per day of Minutes classified as being awake through all sleep periods,,,,
fes_youth_q4,,Family members hardly ever lose their tempers. | 0 = True; 1 = False,,,,
fes_youth_q4,,Family members hardly ever lose their tempers. | 0 = True; 1 = False,0 = True | 1 = False,,,
fes_youth_q8,,Family members often try to one-up or outdo each other. | 1 = True; 0 = False,,,,
fes_youth_q8,,Family members often try to one-up or outdo each other. | 1 = True; 0 = False,1 = True | 0 = False,,,
famhx_ss_matunc4_prob_dprs_p,,maternal uncle 4 depression problem | 0=no problem endorsed; 1=problem endorsed,,,,
famhx_ss_matunc4_prob_dprs_p,,maternal uncle 4 depression problem | 0=no problem endorsed; 1=problem endorsed,0 = no problem endorsed | 1 = problem endorsed,,,
famhx_ss_hlfsibo5_prob_vs_p,,half sibling older 5 visions of others spying/plotting problem | 0=no problem endorsed; 1=problem endorsed,,,,
famhx_ss_hlfsibo5_prob_vs_p,,half sibling older 5 visions of others spying/plotting problem | 0=no problem endorsed; 1=problem endorsed,0 = no problem endorsed | 1 = problem endorsed,,,
famhx_ss_matant2_prob_prf_p,,maternal aunt 2 been to a doctor or counselor due to emotional/mental problem | 0=no problem endorsed; 1=problem endorsed,,,,
famhx_ss_matant2_prob_prf_p,,maternal aunt 2 been to a doctor or counselor due to emotional/mental problem | 0=no problem endorsed; 1=problem endorsed,0 = no problem endorsed | 1 = problem endorsed,,,
fmri_postqc_stype,,Series type,,,,
fmri_postqc_regt1,,"Registration error score (0=good registration, 1=mild rotation or translation, 2=moderate rotation or translation, 3=severe rotation or translation) | 0 = absent; 1 = mild; 2 = moderate; 3 = severe",,,,
fmri_postqc_regt1,,"Registration error score (0=good registration, 1=mild rotation or translation, 2=moderate rotation or translation, 3=severe rotation or translation) | 0 = absent; 1 = mild; 2 = moderate; 3 = severe",0 = absent | 1 = mild | 2 = moderate | 3 = severe,,,
fsqc_nrev,,Number of reviews,,,,
fsqc_qu_pialover,,Pial overestimation score | 0 = absent; 1 = mild; 2 = moderate; 3 = severe,,,,
fsqc_qu_pialover,,Pial overestimation score | 0 = absent; 1 = mild; 2 = moderate; 3 = severe,0 = absent | 1 = mild | 2 = moderate | 3 = severe,,,
gdt_scr_script_elapsedtime,,"script.elapsedtime:

Time it took to run script (in ms)",,,,
gdt_scr_values_triple,,"values.triple:

Counts how many times participant has bet on 3 specific dice face",,,,
gish2_nr_self_hands,,Have you ever put your hands under a boy's or girl's clothes? | 1=Yes; 0=No; 777=Refuse to answer,,,,
gish2_nr_self_hands,,Have you ever put your hands under a boy's or girl's clothes? | 1=Yes; 0=No; 777=Refuse to answer,1 = Yes | 0 = No | 777 = Refuse to answer,,,
gish2_f_had_bf_gf,,Had a boyfriend/girlfriend | 1=None; 2=A Few; 3=Most; 4=All; 999=Don't Know; 777=Refuse to Answer,,,,
gish2_f_had_bf_gf,,Had a boyfriend/girlfriend | 1=None; 2=A Few; 3=Most; 4=All; 999=Don't Know; 777=Refuse to Answer,1 = None | 2 = A Few | 3 = Most | 4 = All | 999 = Don't Know | 777 = Refuse to Answer,,,
interview_date,,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,,,
hair_status_y,,"Hair Sample Collection: | 2=Collected; 4=Participant refused; 5=Not collected, hair was not appropriate (too short, braids, etc.); 6=Institution not authorized to collect samples due to COVID; 7=Staff discomfort due to COVID; 8=Exceed 15min of < 6ft distance from youth (COVID); 9=Not approved by ABCD for collection; 3=Not collected (other)",,,,
hair_status_y,,"Hair Sample Collection: | 2=Collected; 4=Participant refused; 5=Not collected, hair was not appropriate (too short, braids, etc.); 6=Institution not authorized to collect samples due to COVID; 7=Staff discomfort due to COVID; 8=Exceed 15min of < 6ft distance from youth (COVID); 9=Not approved by ABCD for collection; 3=Not collected (other)","2 = Collected | 4 = Participant refused | 5 = Not collected, hair was not appropriate (too short, braids, etc.) | 6 = Institution not authorized to collect samples due to COVID | 7 = Staff discomfort due to COVID | 8 = Exceed 15min of < 6ft distance from youth (COVID) | 9 = Not approved by ABCD for collection | 3 = Not collected (other)",,,
hormone_scr_dhea_rep1_ll,,Salimetrics hormone test DHEA below lower limit of sensitivity (repetition 1),,,,
hormone_scr_hse_rep1,,Salimetrics hormone test estradiol (HSE) repetition 1 (pg/mL),,,,
hormone_scr_ert_mean,,Salimetrics hormone test testosterone (ERT) mean of measures (pg/mL),,,,
imgincl_t1w_include,,T1w data recommended for inclusion | 0=No; 1=Yes,,,,
imgincl_t1w_include,,T1w data recommended for inclusion | 0=No; 1=Yes,0 = No | 1 = Yes,,,
imgincl_rsfmri_include,,rs-fMRI data recommended for inclusion | 0=No; 1=Yes,,,,
imgincl_rsfmri_include,,rs-fMRI data recommended for inclusion | 0=No; 1=Yes,0 = No | 1 = Yes,,,
irma_hurtep_b18,,"If another severe weather event, such as a hurricane, was predicted to strike where you live, would you stay in your home or evacuate?  Si se pronostica que otro huracán golpea donde usted vive, ¿preferiría quedarse en su casa o evacuar? | 1 = Definitely Stay at Home  Definitivamente quedarme en casa; 2 = Probably Stay at Home  Probablemente quedarme en casa; 3 = Unsure  Inseguro; 4 = Probably Leave (evacuate)  Probablemente salir (evacuar); 5 = Definitely Leave (evacuate) Definitivamente salir (evacuar)",,,,
irma_hurtep_b18,,"If another severe weather event, such as a hurricane, was predicted to strike where you live, would you stay in your home or evacuate?  Si se pronostica que otro huracán golpea donde usted vive, ¿preferiría quedarse en su casa o evacuar? | 1 = Definitely Stay at Home  Definitivamente quedarme en casa; 2 = Probably Stay at Home  Probablemente quedarme en casa; 3 = Unsure  Inseguro; 4 = Probably Leave (evacuate)  Probablemente salir (evacuar); 5 = Definitely Leave (evacuate) Definitivamente salir (evacuar)",1 = Definitely Stay at Home  Definitivamente quedarme en casa | 2 = Probably Stay at Home  Probablemente quedarme en casa | 3 = Unsure  Inseguro | 4 = Probably Leave (evacuate)  Probablemente salir (evacuar) | 5 = Definitely Leave (evacuate) Definitivamente salir (evacuar),,,
irma_hurtep_a7,,Were your clothes or belongings ruined by the hurricane? ¿Su ropa o pertenencias fueron arruinadas por el huracán? | 1 = Yes  Si; 0 = No No,,,,
irma_hurtep_a7,,Were your clothes or belongings ruined by the hurricane? ¿Su ropa o pertenencias fueron arruinadas por el huracán? | 1 = Yes  Si; 0 = No No,1 = Yes  Si | 0 = No No,,,
irma_meqp_10,,"10. Internet media coverage of other storms (e.g., Hurricane Jose, Hurricane Maria) after Irma 10. Cobertura de los medios de Internet de otras tormentas (por ejemplo, Huracán José, Huracán María) después de Irma | 0 = Once per day or less0  Una ves por día on menos0; 1 = Several times per day1  Varias veses por día1; 2 = Almost every hour2  Casi cada hora2; 3 = Several times per hour3  Varias veses por hora3; 4 = Almost continuously4 Casi continuamente4",,,,
irma_meqp_10,,"10. Internet media coverage of other storms (e.g., Hurricane Jose, Hurricane Maria) after Irma 10. Cobertura de los medios de Internet de otras tormentas (por ejemplo, Huracán José, Huracán María) después de Irma | 0 = Once per day or less0  Una ves por día on menos0; 1 = Several times per day1  Varias veses por día1; 2 = Almost every hour2  Casi cada hora2; 3 = Several times per hour3  Varias veses por hora3; 4 = Almost continuously4 Casi continuamente4",0 = Once per day or less0  Una ves por día on menos0 | 1 = Several times per day1  Varias veses por día1 | 2 = Almost every hour2  Casi cada hora2 | 3 = Several times per hour3  Varias veses por hora3 | 4 = Almost continuously4 Casi continuamente4,,,
ksads_9_39_p,,Symptom - Impairment due to fear or avoidance of phobic object Present,,,,
ksads_19_481_p,,Symptom - Drinks More than Planned Present,,,,
ksads_20_747_p,,Symptom - Negative impact role obligations miss work drug use (Hallucinogen) Past,,,,
ksads_4_250_t,,"Symptom - Tenacity of belief that delusion is true, Present",,,,
ksads_19_499_t,,"Symptom - Alcohol Withdrawal, Present",,,,
ksads_20_741_t,,"Symptom - Important activities given up or reduced due to substance use (Opioid), Past",,,,
demo_prnt_race_a_v2_l___21,,"What race do you consider yourself to be? Please check all that apply. ¿De qué raza se considera usted? Seleccione 1 o más de estas categorías: (21, Japanese Japonesa) | 0 = No; 1 = Yes",,,,
demo_prnt_race_a_v2_l___21,,"What race do you consider yourself to be? Please check all that apply. ¿De qué raza se considera usted? Seleccione 1 o más de estas categorías: (21, Japanese Japonesa) | 0 = No; 1 = Yes",0 = No | 1 = Yes,,,
fam_roster_9c_v2_l,,"Person #9, relationship to you: Persona #9, parentesco a usted: | 1 = Husband or wife Esposo(a) ; 2 = Son-in-law or daughter-in-law Yerno / nuera ; 3 = Biological son or daughter Hijo(a) biologico(a) ; 4 = Other relative Otro pariente ; 5 = Adopted son or daughter Hijo(a) adoptado(a) ; 6 = Roomer or boarder Ocupante o inquilino ; 7 = Stepson or stepdaughter Hijastro(a) ; 8 = Housemate or roommate Compañero(a) de casa o de habitacion ; 9 = Brother or sister Hermano(a) ; 10 = Unmarried partner Pareja en union libre ; 11 = Father or mother Padre o madre ; 12 = Foster child Hijo(a) en cuidado tutelar ; 13 = Grandchild Nieto(a) ; 14 = Other nonrelative Otra persona que no es su pariente ; 15 = Parent-in-law Suegro(a)",,,,
fam_roster_9c_v2_l,,"Person #9, relationship to you: Persona #9, parentesco a usted: | 1 = Husband or wife Esposo(a) ; 2 = Son-in-law or daughter-in-law Yerno / nuera ; 3 = Biological son or daughter Hijo(a) biologico(a) ; 4 = Other relative Otro pariente ; 5 = Adopted son or daughter Hijo(a) adoptado(a) ; 6 = Roomer or boarder Ocupante o inquilino ; 7 = Stepson or stepdaughter Hijastro(a) ; 8 = Housemate or roommate Compañero(a) de casa o de habitacion ; 9 = Brother or sister Hermano(a) ; 10 = Unmarried partner Pareja en union libre ; 11 = Father or mother Padre o madre ; 12 = Foster child Hijo(a) en cuidado tutelar ; 13 = Grandchild Nieto(a) ; 14 = Other nonrelative Otra persona que no es su pariente ; 15 = Parent-in-law Suegro(a)",1 = Husband or wife Esposo(a) | 2 = Son-in-law or daughter-in-law Yerno / nuera | 3 = Biological son or daughter Hijo(a) biologico(a) | 4 = Other relative Otro pariente | 5 = Adopted son or daughter Hijo(a) adoptado(a) | 6 = Roomer or boarder Ocupante o inquilino | 7 = Stepson or stepdaughter Hijastro(a) | 8 = Housemate or roommate Compañero(a) de casa o de habitacion | 9 = Brother or sister Hermano(a) | 10 = Unmarried partner Pareja en union libre | 11 = Father or mother Padre o madre | 12 = Foster child Hijo(a) en cuidado tutelar | 13 = Grandchild Nieto(a) | 14 = Other nonrelative Otra persona que no es su pariente | 15 = Parent-in-law Suegro(a),,,
